1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
306	3	4	1	1.202	0.08991	1.686	-0.3109	5.978	-2.352	1.088	0.1874	8.797	1.821	0.566	0.05188	0.7999	-0.1435	0.4217	-0.0128	0.978	-0.1241	0.6152	0.06508	1.367	0.04702	0.7384	-0.08709	1.001	-0.5945	1.213	-0.03272	1.122	-0.943	1.363	-0.0601
306	3	4	1	1.268	-0.207	1.686	-0.3032	2.074	-0.8157	1.157	0.06774	5.044	-0.6609	0.5877	0.06687	0.7985	-0.1298	0.4311	0.0004027	1	-0.1154	0.6429	0.07999	1.4	0.07315	0.7673	-0.0826	1.059	-0.5921	1.274	-0.02541	1.163	-0.9487	1.412	-0.03733
306	3	4	1	1.352	-0.6887	1.671	-0.2907	-3.704	1.457	1.226	-0.1294	0.2264	-4.034	0.6223	0.05744	0.8025	-0.1195	0.4396	0.01682	1.03	-0.1111	0.6723	0.09606	1.437	0.09285	0.798	-0.07574	1.13	-0.5726	1.327	-0.02298	1.203	-0.9474	1.449	-0.01574
306	3	4	1	1.439	-1.333	1.646	-0.2746	-10.51	4.134	1.289	-0.3917	-4.694	-7.763	0.6719	0.01472	0.8122	-0.1159	0.4473	0.03482	1.068	-0.1138	0.7023	0.1124	1.476	0.1053	0.8295	-0.06708	1.211	-0.538	1.373	-0.02523	1.241	-0.9407	1.476	0.003804
306	3	4	1	1.51	-2.085	1.612	-0.256	-17.45	6.866	1.336	-0.6924	-9.161	-11.38	0.7344	-0.06634	0.827	-0.1215	0.4545	0.05273	1.114	-0.1257	0.7316	0.1283	1.516	0.1102	0.8602	-0.05735	1.299	-0.4919	1.41	-0.03189	1.277	-0.9308	1.492	0.02027
306	3	4	1	1.545	-2.863	1.572	-0.2369	-23.85	9.383	1.353	-0.9924	-12.94	-14.58	0.8047	-0.1853	0.8457	-0.1375	0.4611	0.06913	1.167	-0.1474	0.7585	0.1431	1.556	0.1079	0.8884	-0.04727	1.39	-0.4385	1.44	-0.04262	1.307	-0.9198	1.501	0.03252
306	3	4	1	1.528	-3.574	1.53	-0.2191	-29.27	11.51	1.327	-1.246	-15.97	-17.19	0.8742	-0.3354	0.8665	-0.1633	0.4672	0.08308	1.223	-0.1783	0.7818	0.1569	1.592	0.09913	0.9126	-0.03736	1.479	-0.383	1.462	-0.05699	1.333	-0.9097	1.504	0.0395
306	3	4	1	1.451	-4.13	1.489	-0.2044	-33.45	13.16	1.248	-1.408	-18.25	-19.15	0.9337	-0.5045	0.8877	-0.197	0.4727	0.09428	1.28	-0.2157	0.8002	0.1697	1.624	0.08504	0.9315	-0.02783	1.564	-0.3302	1.478	-0.07442	1.352	-0.9022	1.503	0.04039
306	3	4	1	1.313	-4.46	1.452	-0.1944	-36.29	14.28	1.109	-1.441	-19.79	-20.41	0.9746	-0.6762	0.9073	-0.2351	0.4778	0.103	1.332	-0.2556	0.813	0.1823	1.648	0.06698	0.9445	-0.01857	1.641	-0.2842	1.488	-0.09412	1.367	-0.8984	1.5	0.03479
306	3	4	1	1.119	-4.522	1.419	-0.1901	-37.75	14.85	0.9108	-1.326	-20.64	-20.98	0.9915	-0.8324	0.9239	-0.2736	0.4827	0.1102	1.375	-0.293	0.8199	0.1955	1.664	0.0464	0.9513	-0.00919	1.708	-0.2486	1.495	-0.1151	1.376	-0.8991	1.498	0.02283
306	3	4	1	0.8763	-4.308	1.392	-0.1919	-37.86	14.89	0.6617	-1.059	-20.83	-20.88	0.983	-0.9559	0.9368	-0.3081	0.4874	0.117	1.404	-0.323	0.8211	0.21	1.67	0.02471	0.9523	0.0008699	1.762	-0.2254	1.5	-0.1361	1.381	-0.9042	1.497	0.005135
306	3	4	1	0.5996	-3.845	1.372	-0.1993	-36.69	14.43	0.3775	-0.6634	-20.39	-20.16	0.9515	-1.031	0.9454	-0.3344	0.4922	0.1247	1.415	-0.3413	0.8172	0.2265	1.665	0.003145	0.9482	0.01215	1.802	-0.2156	1.503	-0.1561	1.383	-0.9136	1.499	-0.0172
306	3	4	1	0.3068	-3.191	1.358	-0.2112	-34.34	13.51	0.08159	-0.1789	-19.37	-18.85	0.9015	-1.047	0.9496	-0.3491	0.4972	0.1344	1.407	-0.3454	0.8095	0.2452	1.65	-0.01743	0.9402	0.02503	1.829	-0.2185	1.507	-0.1739	1.381	-0.9267	1.504	-0.04276
306	3	4	1	0.02347	-2.434	1.349	-0.2256	-30.98	12.19	-0.1972	0.3407	-17.81	-17.04	0.837	-0.9933	0.9491	-0.3494	0.5024	0.1471	1.379	-0.3357	0.7992	0.2658	1.627	-0.03658	0.9295	0.03959	1.843	-0.2326	1.512	-0.1886	1.377	-0.9429	1.511	-0.06992
